Graph name,Number of nodes,Number of edges,Minimum degree,Maximum degree,Average degree,Avg clustering coefficient,Assortativity,Average path length,Diameter
256_4_4_2_15_18_p.net,256,2274,23,15,17.765625,0.733061145556,0.028623920461897174,2.78210784314,2.78210784314
256_4_4_4_13_18_p.net,256,2299,25,10,17.9609375,0.511299554461,0.0006954016350719745,2.65110294118,2.65110294118
BA1000.net,1000,3990,115,4,7.98,0.0354487622981,-0.05420735055404407,3.18327927928,3.18327927928
ER1000k8.net,1000,3956,17,1,7.912,0.0080421101774,-0.016833267357878594,3.56977777778,3.56977777778
ER5000k8.net,5000,19980,17,4,7.992,0.0013888966589,-0.05547627909142186,4.37974106821,4.37974106821
homorand_N1000_K4_0.net,1000,2000,4,4,4.0,0.002,nan,5.64,5.64
homorand_N1000_K6_0.net,1000,2994,6,5,5.988,0.0038,0.1919028340081363,4.1912992993,4.1912992993
rb125.net,125,410,100,4,6.56,0.837295055821,-0.1729819598501203,2.30322580645,2.30322580645
SF_1000_g2.5.net,1000,1905,30,2,3.81,0.00960504089007,0.019981521865573563,4.61493293293,4.61493293293
SF_1000_g2.7.net,1000,1668,24,2,3.336,0.00665045430706,-0.0019608989554759882,5.46882682683,5.46882682683
SF_1000_g3.0.net,1000,1517,26,2,3.034,0.00515919452102,-0.00853880659775094,5.96506306306,5.96506306306
SF_500_g2.7.net,500,859,22,2,3.436,0.00777380957536,-0.025585881102284738,4.87593587174,4.87593587174
ws1000.net,1000,3000,13,3,6.0,0.00436484071484,-0.09992885591125493,4.0913033033,4.0913033033
ws2000.net,2000,6000,13,3,6.0,0.00333015873016,-0.07617895966626093,4.51109304652,4.51109304652
airports_UW.net,3618,14142,250,1,7.8175787728,0.495748931235,0.04622413053190781,4.43959464191,4.43959464191
dolphins.net,62,159,12,1,5.12903225806,0.258958246055,-0.04359402821531252,3.3569539926,3.3569539926
PGP.net,10680,24316,205,1,4.55355805243,0.265945224301,0.23821137170816228,7.48554005148,7.48554005148
zachary_unwh.net,34,78,17,1,4.58823529412,0.570638478208,-0.47561309768461457,2.40819964349,2.40819964349
20x2+5x2.net,50,404,22,4,16.16,0.971558441558,0.9186473753688221,2.38775510204,2.38775510204
circle9.net,9,9,2,2,2.0,0.0,nan,2.5,2.5
graph3+1+3.net,7,8,3,2,2.28571428571,0.666666666667,-0.6,2.19047619048,2.19047619048
graph4+4.net,8,13,4,3,3.25,0.875,-0.08333333333332978,1.85714285714,1.85714285714
grid-p-6x6.net,36,72,4,4,4.0,0.0,nan,3.08571428571,3.08571428571
rb25.net,25,66,20,4,5.28,0.902315789474,-0.1635258358662614,2.03333333333,2.03333333333
star.net,9,8,8,1,1.77777777778,0.0,-1.0,1.77777777778,1.77777777778
wheel.net,9,16,8,3,3.55555555556,0.624338624339,-0.3333333333333333,1.55555555556,1.55555555556

